"","questions","answers"
"1","What is your favorite color?","Red"
"2","What is your favorite color?","Green"
"3","What is your favorite color?","Yellow"
"4","What is your favorite color?","Blue"
"5","What is your favorite color?","Purple"
"6","Do you live in Phoenix?","Yes"
"7","Do you live in Phoenix?","No"
"8","How did you find out about this service?","PayPal"
"9","How did you find out about this service?","Repay"
"10","How did you find out about this service?","GCU"
"11","How did you find out about this service?","Other"
"12","On a scale from 1 to 5, how satisfied were you with the service?","1"
"13","On a scale from 1 to 5, how satisfied were you with the service?","2"
"14","On a scale from 1 to 5, how satisfied were you with the service?","3"
"15","On a scale from 1 to 5, how satisfied were you with the service?","4"
"16","On a scale from 1 to 5, how satisfied were you with the service?","5"
"17","Would you like to volunteer more in the future?","Yes"
"18","Would you like to volunteer more in the future?","Probably"
"19","Would you like to volunteer more in the future?","Maybe"
"20","Would you like to volunteer more in the future?","Probably not"
"21","Would you like to volunteer more in the future?","No"
